studentCode,StudentName,modeoftransport,Distance,Emission
581,Valaree,Car,269,59.05
582,Marv,Motor Bike,425,73.38
583,Darius,Bike,479,0
584,Wyatt,Bus,229,24.64
585,Karee,Bus,173,91.6
586,Tisha,Bus,0,67.46
587,Rice,Walk,171,0
588,Marlo,Car,388,60.06
589,Orv,E-scooter,149,11.11
590,Loreen,Motor Bike,451,43.65
591,Willamina,Walk,445,0
592,Garfield,Bike,157,0
593,Dede,E-scooter,479,10.82
594,Gannie,Train,374,48.59
595,Flor,Motor Bike,197,61.07
596,Dolli,Walk,384,0
597,Mufi,Car,319,24.23
598,Giraldo,Bus,305,39.28
599,Sampson,E-scooter,396,70.55
600,Tammi,Motor Bike,393,36.45
601,Carlita,Walk,93,0
602,Laurette,Bike,56,0
603,Ottilie,Walk,224,0
604,Joana,Car,464,56.71
605,Ernest,Walk,392,0
606,Dede,Bus,98,35.88
607,Calla,Car,93,27.58
608,Basilio,Train,378,77.89
609,Roxanna,E-scooter,36,98.46
610,Madel,Bike,265,0
611,Stuart,Car,325,80
612,Loy,Walk,363,0
613,Teodora,E-scooter,216,26.1
614,Matilde,Train,243,68.9
615,Lelah,Train,422,54.26
616,Gerhardine,Walk,18,0
617,Cointon,Walk,142,0
618,Cheslie,Train,479,85.9
619,Derick,Motor Bike,497,36.44
620,Napoleon,Bus,376,86.95
621,Kala,Car,313,39.96
622,Ramon,Bus,162,46.84
623,Allyn,Walk,189,0
624,Lanna,Bus,268,40.43
625,Meagan,E-scooter,313,14.16
626,Allianora,Bus,465,27.68
627,Wyn,E-scooter,14,35.99
628,Merle,Bike,220,0
629,Tish,Train,304,0.36
630,Laural,Motor Bike,358,49.7
631,Tobe,Motor Bike,35,67.97
632,Payton,Walk,79,0
633,Reidar,E-scooter,20,75.61
634,Ginni,E-scooter,242,88.31
635,Karlik,Motor Bike,37,52.75
636,Ellwood,Bike,409,0
637,Bronnie,E-scooter,175,8.57
638,Corny,Bus,8,65.26
639,Esma,Train,233,90.54
640,Philippa,Car,356,10.43
641,Suzy,Bike,251,0
642,Clifford,Bus,390,54.87
643,Torie,Bus,262,31.25
644,Eryn,Walk,95,0
645,Kile,Bus,88,57.11
646,Harp,Train,417,34.74
647,Margarethe,Walk,135,0
648,Bettina,Walk,282,0
649,Margie,Bike,234,0
650,Freida,Walk,490,0
651,Jonis,Bus,437,12.14
652,Malvina,E-scooter,60,99.17
653,My,Walk,366,0
654,Doug,Walk,38,0
655,Cymbre,Motor Bike,492,25.42
656,Tootsie,E-scooter,182,94.79
657,Tony,Walk,283,0
658,Michell,Bus,312,88.96
659,Lana,Bus,119,20.28
660,Shamus,Bike,347,0
661,Helaina,Train,260,2.09
662,Sheff,E-scooter,311,76.94
663,Orson,Motor Bike,225,26.57
664,Clare,Bus,483,2.88
665,Star,Walk,216,0
666,Hailee,E-scooter,295,27.72
667,Rube,Walk,133,0
668,Giraud,Car,130,4
669,Kimball,Walk,233,0
670,Sebastiano,Train,67,0.93
671,Northrup,Car,122,50.83
672,Tailor,Car,79,80.92
673,Esmeralda,E-scooter,15,64.73
674,Averyl,E-scooter,98,48.73
675,Irwinn,Bus,466,23.83
676,Dom,Train,308,75.56
677,Margareta,Bus,80,50.01
678,Agnes,E-scooter,163,79.79
679,Henrie,Train,54,83.52
680,Kaleena,Bus,85,4.03
681,Hanni,Bike,399,0
682,Brooke,Walk,316,0
683,Trenton,Walk,418,0
684,Valina,Motor Bike,83,62.81
685,Conn,Walk,323,0
686,Charyl,Walk,133,0
687,Annadiane,Bike,9,0
688,Gwenette,Bike,41,0
689,Francisca,Bike,259,0
690,Rona,E-scooter,0,58.91
691,Merline,E-scooter,223,1.99
692,Tilly,Bike,392,0
693,Tamiko,Bus,436,77.14
694,Iorgo,Bus,291,0.85
695,Lindy,E-scooter,93,72.85
696,Gustaf,E-scooter,220,71.65
697,Rowney,Car,155,59.88
698,Osbourn,E-scooter,376,21.28
699,Locke,Train,0,47.47
700,Shirline,Bus,26,69.11
701,Elysia,Bike,124,0
702,Kean,Motor Bike,398,34.5
703,Yves,Car,137,38.51
704,Terrence,Motor Bike,137,81.93
705,Opaline,Train,467,19.79
706,Cyndia,Train,71,83.57
707,Gertrudis,E-scooter,483,83.33
708,Lib,Car,298,38.87
709,Bowie,Bus,431,82.51
710,Jessie,Motor Bike,466,98.24
711,Baudoin,Motor Bike,111,82.44
712,Cordy,Motor Bike,25,86.72
713,Dorian,Walk,81,0
714,Noami,Walk,365,0
715,Gwenora,Car,278,87.79
716,Zelma,E-scooter,344,81.12
717,Whitney,E-scooter,286,73.31
718,Benjy,Train,75,62.37
719,Karoline,Bike,235,0
720,Katherina,Train,76,6.86
721,Sherlock,Bus,262,88.53
722,Karalee,E-scooter,249,88.6
723,Veradis,Train,83,35.09
724,Hatti,Bike,92,0
725,Kyle,Train,35,19.39
726,Michele,Bus,472,87.14
727,Vinni,Bike,463,0
728,Ricca,Bike,296,0
729,Geri,Motor Bike,176,42.9
730,York,Train,295,89.08
731,Clarette,E-scooter,148,37.21
732,Bea,Car,268,22.67
733,Darbie,E-scooter,473,95.71
734,Kain,Train,250,10.18
735,Moritz,E-scooter,234,13.67
736,Alexi,Car,490,80.76
737,Dru,Walk,474,0
738,Rawley,Train,325,57.25
739,Norri,Walk,88,0
740,Prudy,Car,240,49.38
741,Suzanna,Train,261,23.88
742,Lacee,E-scooter,244,24.77
743,Rafe,Bus,202,1.54
744,Vasilis,Motor Bike,487,23.9
745,Forster,E-scooter,142,56.31
746,Malia,Walk,445,0
747,Errol,Walk,13,0
748,Cary,Car,179,48.75
749,Alistair,Bike,230,0
750,Arabela,Bus,171,64.89
751,Colette,Bus,62,23.49
752,Kylynn,Car,419,46.28
753,Adriana,E-scooter,301,71.6
754,Nan,Bus,386,23.36
755,Linet,Bike,318,0
756,Dill,Motor Bike,344,93.57
757,Ingaborg,Bike,114,0
758,Corie,Bus,423,66
759,Sawyer,Motor Bike,30,87.18
760,Bernice,Bus,459,83.38
761,Tyson,Train,435,72.41
762,Kaiser,Walk,376,0
763,Sherie,Bus,421,33.55
764,Wash,Bus,129,17.52
765,Delmar,Car,497,95.81
766,Halley,Walk,463,0
767,Brad,Car,292,46.24
768,Rakel,Motor Bike,119,38.65
769,Chandra,Motor Bike,218,21.77
770,Keefer,Motor Bike,106,50.27
771,Reina,Car,376,9.44
772,Roselle,Walk,413,0
773,Georgie,Train,163,0.66
774,Stavro,Motor Bike,381,5.32
775,Ilise,Walk,327,0
776,Sanson,Walk,216,0
777,Staford,E-scooter,427,83.34
778,Tiphany,Walk,102,0
779,Katherina,Motor Bike,499,88.6
780,Sim,Car,154,37.55
781,Kelcie,Motor Bike,254,28.85
782,Ashley,Walk,160,0
783,Ali,Walk,376,0
784,Arnaldo,Train,418,21.92
785,Nan,Walk,367,0
786,Camile,Motor Bike,271,18.56
787,Tod,E-scooter,383,2.18
788,Lina,Bike,274,0
789,Noll,Bus,359,94.19
790,Marlie,Motor Bike,355,19.07
791,Barbey,Bike,485,0
792,Wini,Walk,453,0
793,Jobey,Train,324,55
794,Rodge,Motor Bike,244,82.19
795,Almeda,Train,440,65.57
796,Sallyanne,Walk,448,0
797,Rafferty,Walk,33,0
798,Glori,Motor Bike,141,0.53
799,Valentijn,Motor Bike,166,67.84
800,Alysia,Walk,106,0
801,Rudyard,E-scooter,157,87.98
802,Gusella,Bus,334,97.7
803,Lauritz,Train,383,29.48
804,Farleigh,Bike,197,0
805,Alayne,Bus,259,8.28
806,Roana,E-scooter,124,22.81
807,Franchot,Train,28,38.2
808,Druci,Car,263,78.96
809,Obediah,Car,99,43.75
810,Loria,Bike,350,0
811,Siobhan,Train,364,38.97
812,Nathanael,Car,346,43.4
813,Ambur,Car,494,2.23
814,Halie,Walk,53,0
815,Jeffry,Train,458,88.36
816,Britte,Car,418,32.01
817,Trstram,Car,470,6.31
818,Annadiane,Bike,407,0
819,Abramo,Bus,391,0.34
820,Cassondra,Train,433,56.64
821,Perice,Walk,160,0
822,Ax,Train,425,16.44
823,Kevin,Walk,46,0
824,Michelina,Motor Bike,412,71.15
825,Candida,Bike,218,0
826,Petronella,Train,310,60.66
827,Anabal,Walk,358,0
828,Amie,Bus,421,50.65
829,Fernandina,Bus,211,69.53
830,Larina,Car,393,38.92
831,Philip,Bike,353,0
832,Clare,Train,377,47.34
833,Berta,Car,142,86.75
834,Quentin,E-scooter,145,87.22
